UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2013,999,316294766,155742059,160552707,121672212,123851216,19957980,21749552,1973769,1933317,7956630,8737815,369373,355590,3812095,3925217,125044341,127303347,21593375,23482977,3206192,3231639,9357738,10148175,722461,714353,128405941,133862580,97535169,100339521,18715363,20454999,1152346,1182913,7690933,8471083,271234,264839,3040896,3149225,100222211,103104747,20009873,21835863,2045605,2143743,8878082,9665905,549629,549226,27336118,26690127,24137043,23511695,1242617,1294553,821423,750404,265697,266732,98139,90751,771199,775992,24822130,24198600,1583502,1647114,1160587,1087896,479656,482270,172832,165127
P,7,2013,0,3931258,2009723,1921535,1452963,1386070,301988,293409,32719,31383,97495,91478,5777,5452,118781,113743,1562287,1490680,365290,354742,56908,54622,141542,133079,14474,13611,1499828,1430214,1016239,965473,274567,266885,17660,16862,92219,86277,4065,3768,95078,90949,1104168,1049513,326052,316804,33622,32172,128900,120849,10436,9708,509895,491321,436724,420597,27421,26524,15059,14521,5276,5201,1712,1684,23703,22794,458119,441167,39238,37938,23286,22450,12642,12230,4038,3903
P,7,2013,1,3942698,2015723,1926975,1461729,1393933,302514,293178,33361,32016,95433,90512,5596,5323,117090,112013,1569458,1496966,365041,353370,57554,55170,138496,131380,14092,13441,1501221,1431855,1020508,969017,275434,267193,17663,17019,90223,85535,3883,3689,93510,89402,1106944,1051640,326191,316091,33594,32235,126048,119472,10098,9608,514502,495120,441221,424916,27080,25985,15698,14997,5210,4977,1713,1634,23580,22611,462514,445326,38850,37279,23960,22935,12448,11908,3994,3833
P,7,2013,2,3991740,2042266,1949474,1487784,1416029,304299,295117,32251,31142,94970,90223,5569,5239,117393,111724,1595833,1518786,366762,354953,56755,54622,138047,130856,14173,13325,1513766,1440646,1030146,976191,278499,269724,17935,17070,89885,85371,3872,3612,93429,88678,1116529,1058116,329121,318072,34010,32433,125579,118999,10143,9472,528500,508828,457638,439838,25800,25393,14316,14072,5085,4852,1697,1627,23964,23046,479304,460670,37641,36881,22745,22189,12468,11857,4030,3853
P,7,2013,3,3991017,2037080,1953937,1473547,1407842,305058,296165,32689,31846,101006,97159,5873,5691,118907,115234,1583116,1513805,368804,358544,57106,55791,144490,138788,14373,13843,1512007,1447602,1023887,974167,277083,269187,17307,17131,95203,91682,3957,3806,94570,91629,1111448,1058811,328682,319520,33178,32843,131216,126220,10178,9716,525073,506335,449660,433675,27975,26978,15382,14715,5803,5477,1916,1885,24337,23605,471668,454994,40122,39024,23928,22948,13274,12568,4195,4127
P,7,2013,4,3992502,2036786,1955716,1472591,1407323,308047,300088,32760,31740,101059,98156,6029,5977,116300,112432,1579401,1510733,370630,361262,56639,54406,143404,138659,14285,13978,1517983,1455810,1029202,980259,279635,272452,17381,16935,95004,92452,4008,4003,92753,89709,1114807,1063189,330525,322256,32943,31628,130163,126182,10070,9875,518803,499906,443389,427064,28412,27636,15379,14805,6055,5704,2021,1974,23547,22723,464594,447544,40105,39006,23696,22778,13241,12477,4215,4103
P,7,2013,5,4121876,2103606,2018270,1523433,1454091,317928,310068,34088,32858,105404,102261,6268,6002,116485,112990,1630318,1557762,380512,371837,57926,55983,147803,142683,14791,13921,1566878,1503338,1062950,1013094,288983,282069,18019,17565,99493,96522,4212,3964,93221,90124,1148872,1096135,340158,332426,33625,32534,134817,130091,10451,9783,536728,514932,460483,440997,28945,27999,16069,15293,5911,5739,2056,2038,23264,22866,481446,461627,40354,39411,24301,23449,12986,12592,4340,4138
P,7,2013,6,4141126,2115669,2025457,1538774,1467866,318789,308461,34632,33088,104306,100359,6211,6065,112957,109618,1642443,1568258,379206,367701,58149,55987,145460,139698,14471,14033,1579209,1509999,1078089,1024837,290280,281165,18056,17712,98293,94744,4196,4033,90295,87508,1161372,1105314,339571,329605,33487,32603,132470,127482,10274,9867,536460,515458,460685,443029,28509,27296,16576,15376,6013,5615,2015,2032,22662,22110,481071,462944,39635,38096,24662,23384,12990,12216,4197,4166
P,7,2013,7,4106756,2098702,2008054,1537241,1462351,309826,302540,33890,32673,103216,100470,6094,5821,108435,104199,1636687,1557893,366956,358026,56912,54693,143132,138324,14003,13358,1573546,1503875,1084111,1027693,282799,276141,18044,17560,97452,95152,4102,3903,87038,83426,1164249,1104505,329684,321681,33172,31963,130875,126695,9955,9419,525156,504179,453130,434658,27027,26399,15846,15113,5764,5318,1992,1918,21397,20773,472438,453388,37272,36345,23740,22730,12257,11629,4048,3939
P,7,2013,8,4094513,2090824,2003689,1537213,1463597,306222,297075,33484,32758,104047,103502,6058,5851,103800,100906,1632180,1555747,360197,350102,56153,54596,142522,140391,13628,13153,1576498,1510558,1092453,1037728,280057,271661,17987,17584,98517,98303,4118,4058,83366,81224,1169062,1112169,324336,315321,32915,31947,130810,129345,9713,9510,514326,493131,444760,425869,26165,25414,15497,15174,5530,5199,1940,1793,20434,19682,463118,443578,35861,34781,23238,22649,11712,11046,3915,3643
P,7,2013,9,4103052,2093577,2009475,1546961,1474658,303867,295328,32688,32012,104055,104289,5822,5598,100184,97590,1638624,1563934,355261,346023,54870,53652,141391,140144,13231,12770,1592153,1525206,1112083,1055144,278739,270960,17888,17306,98671,99218,4031,3865,80741,78713,1186285,1127397,321051,312772,32713,31901,130062,129364,9560,9163,501424,484269,434878,419514,25128,24368,14800,14706,5384,5071,1791,1733,19443,18877,452339,436537,34210,33251,22157,21751,11329,10780,3671,3607
P,7,2013,10,4072970,2077248,1995722,1538175,1467937,301916,293988,32423,31347,103503,103708,5781,5577,95450,93165,1625238,1553078,350683,341639,54240,52777,138801,138043,13035,12389,1585598,1519523,1111281,1054362,277317,270497,17621,17002,98290,98647,3986,3885,77103,75130,1181892,1123322,317570,309790,32302,31452,128031,127483,9401,9030,491650,476199,426894,413575,24599,23491,14802,14345,5213,5061,1795,1692,18347,18035,443346,429756,33113,31849,21938,21325,10770,10560,3634,3359
P,7,2013,11,4055819,2068627,1987192,1532666,1462946,307272,298847,32275,31072,99124,98639,5624,5434,91666,90254,1616267,1545048,353969,345449,53822,52607,132680,131082,12543,12188,1583580,1517815,1110773,1054864,283080,275407,17796,17139,94117,93821,3923,3762,73891,72822,1178428,1121432,321689,313908,32244,31708,122247,121025,9151,8852,485047,469377,421893,408082,24192,23440,14479,13933,5007,4818,1701,1672,17775,17432,437839,423616,32280,31541,21578,20899,10433,10057,3392,3336
P,7,2013,12,4156241,2121390,2034851,1569446,1497626,318649,309318,32435,31578,103026,101525,5629,5586,92205,89218,1653284,1578866,365472,355021,54600,52981,136726,133671,12652,12410,1633152,1562664,1144219,1086356,294356,285989,18219,17611,98043,96810,3978,3849,74337,72049,1211986,1152211,332972,323847,33329,32203,126400,123860,9247,8988,488238,472187,425227,411270,24293,23329,14216,13967,4983,4715,1651,1737,17868,17169,441298,426655,32500,31174,21271,20778,10326,9811,3405,3422
P,7,2013,13,4218277,2156778,2061499,1597255,1518003,328741,317843,33423,32096,100965,99660,5864,5519,90530,88378,1679693,1598086,374595,363421,56048,54072,133277,130916,12730,12256,1667626,1590881,1170872,1108248,304474,294322,18957,18052,96002,94938,4140,3904,73181,71417,1237723,1173182,342402,332037,34440,33190,123276,121165,9353,8987,489152,470618,426383,409755,24267,23521,14466,14044,4963,4722,1724,1615,17349,16961,441970,424904,32193,31384,21608,20882,10001,9751,3377,3269
P,7,2013,14,4147583,2120133,2027450,1576547,1500048,320916,310439,32319,31400,96823,95105,5732,5334,87796,85124,1656310,1577201,365078,353913,54532,53248,128116,124932,12735,11888,1647864,1571373,1164855,1102763,297333,287701,18493,17834,91936,90387,4028,3799,71219,68889,1229794,1165392,334046,323906,33995,33084,118253,115277,9352,8782,472269,456077,411692,397285,23583,22738,13826,13566,4887,4718,1704,1535,16577,16235,426516,411809,31032,30007,20537,20164,9863,9655,3383,3106
P,7,2013,15,4147812,2120554,2027258,1576343,1498310,323153,312494,32302,31466,98422,97042,5669,5367,84665,82579,1653042,1573251,365451,354263,54276,52979,128298,125804,12268,11646,1653307,1578327,1168340,1106727,300026,290250,18437,18069,93707,92352,4072,3820,68725,67109,1230807,1167852,335308,325062,33777,33248,118832,116522,9137,8608,467247,448931,408003,391583,23127,22244,13865,13397,4715,4690,1597,1547,15940,15470,422235,405399,30143,29201,20499,19731,9466,9282,3131,3038
P,7,2013,16,4159227,2124732,2034495,1581758,1505879,322810,312965,32156,31007,100507,98782,5589,5207,81912,80655,1655974,1578717,363021,353190,54119,52790,129620,126949,12056,11570,1659520,1589556,1175509,1117439,299857,291242,18293,17754,95786,94181,3979,3717,66096,65223,1235637,1176465,333062,324606,33612,33064,120214,117837,8899,8581,465212,444939,406249,388440,22953,21723,13863,13253,4721,4601,1610,1490,15816,15432,420337,402252,29959,28584,20507,19726,9406,9112,3157,2989
P,7,2013,17,4194235,2147890,2046345,1601839,1516146,323584,314528,32373,30803,103946,101192,5728,5383,80420,78293,1674591,1586822,362403,352928,54505,52542,132682,128858,12130,11705,1682452,1603027,1194595,1128523,301059,293073,18487,17667,99304,96591,4099,3810,64908,63363,1253505,1185895,333146,324851,33926,32986,123500,119863,9029,8735,465438,443318,407244,387623,22525,21455,13886,13136,4642,4601,1629,1573,15512,14930,421086,400927,29257,28077,20579,19556,9182,8995,3101,2970
P,7,2013,18,4292947,2203151,2089796,1635589,1542270,342346,330091,33114,31572,107338,103355,5824,5651,78940,76857,1706491,1611109,379885,367646,55545,53425,135672,130443,12449,12053,1729590,1642153,1220984,1150891,319146,308078,19092,18161,102471,98801,4166,4002,63731,62220,1278311,1206766,350051,339073,34966,33790,126467,121599,9274,8993,473561,447643,414605,391379,23200,22013,14022,13411,4867,4554,1658,1649,15209,14637,428180,404343,29834,28573,20579,19635,9205,8844,3175,3060
P,7,2013,19,4392454,2259174,2133280,1669345,1565655,360460,346659,33983,32506,112410,106671,6026,5908,76950,75881,1738091,1633337,396092,382917,56755,55006,140274,133428,12769,12413,1777705,1682171,1246936,1171180,336830,324346,19904,18909,107700,102037,4377,4284,61958,61415,1302342,1226048,366068,354312,36100,35098,131212,124572,9619,9331,481469,451109,422409,394475,23630,22313,14079,13597,4710,4634,1649,1624,14992,14466,435749,407289,30024,28605,20655,19908,9062,8856,3150,3082
P,7,2013,20,4469149,2307192,2161957,1701262,1584277,374185,355951,35448,33237,115640,109507,6348,5989,74309,72996,1767359,1649137,407776,390018,58186,55751,142781,135426,12978,12376,1818233,1711343,1272336,1189893,349872,333696,20683,19627,110924,104835,4562,4349,59856,58943,1325644,1242350,377324,361585,36852,35819,134015,126806,9783,9337,488959,450614,428926,394384,24313,22255,14765,13610,4716,4672,1786,1640,14453,14053,441715,406787,30452,28433,21334,19932,8766,8620,3195,3039
P,7,2013,21,4592550,2366407,2226143,1746259,1630676,380733,366220,37050,34030,122915,116275,6707,6169,72743,72773,1810537,1694872,412236,399176,60252,56539,149906,143099,13455,12844,1867514,1768338,1309004,1231030,356001,342569,21596,20294,117980,111412,4757,4472,58176,58561,1360426,1282783,381319,369302,38127,36466,140910,134141,10066,9625,498893,457805,437255,399646,24732,23651,15454,13736,4935,4863,1950,1697,14567,14212,450111,412089,30917,29874,22125,20073,8996,8958,3389,3219
