Year,Close Price
2020,3572.73
2019,2912.31
2018,3164.39
2017,2634.03
2016,2276.8
2015,2439.89
2014,2190.33
2013,1807.41
2012,1613.2
2011,1637.46
2010,1457.83
2009,1152.57
2008,1836.44
2007,1978.1
2006,1812.97
2005,1741.75
2004,1719.25
2003,1386.15
2002,1810.09
2001,2144.54
2000,2374.42
1999,2136.88
1998,1676.03
1997,1354.0
1996,1118.8
1995,870.29
1994,909.58
1993,858.09
1992,847.07
1991,679.87
1990,750.25
1989,662.59
1988,608.71
1987,668.74
1986,534.08
1985,457.3
1984,459.11
1983,414.82
1982,349.72
1981,429.8
1980,400.76
1979,410.44
1978,405.98
1977,498.86
1976,489.78
1975,391.56
1974,579.85
1973,781.41
1972,706.63
1971,660.42
1970,671.71
1969,805.54
1968,783.59
1967,721.67
1966,825.05
1965,776.04
1964,695.59
1963,601.69
1962,647.3
1961,563.43
1960,556.83
1959,539.22
1958,404.22
1957,462.77
1956,463.16
1955,374.86
1954,266.1
1953,276.71
1952,256.64
1951,234.77
1950,201.95
