Year,Median Age
1950,30
1951,30
1952,30
1953,30
1954,30
1955,30
1956,30
1957,29
1958,29
1959,29
1960,29
1961,29
1962,28
1963,28
1964,28
1965,28
1966,27
1967,27
1968,27
1969,27
1970,27
1971,27
1972,28
1973,28
1974,28
1975,28
1976,28
1977,29
1978,29
1979,29
1980,30
1981,30
1982,30
1983,30
1984,31
1985,31
1986,31
1987,31
1988,32
1989,32
1990,32
1991,33
1992,33
1993,33
1994,33
1995,34
1996,34
1997,34
1998,34
1999,35
2000,35
2001,35
2002,35
2003,35
2004,36
2005,36
2006,36
2007,36
2008,36
2009,37
2010,37
2011,37
2012,37
2013,37
2014,37
2015,37
2016,37
2017,38
2018,38
2019,38
2020,38
