Year,M/O Ratio
1950,1.742
1951,1.73
1952,1.721
1953,1.709
1954,1.701
1955,1.695
1956,1.689
1957,1.685
1958,1.687
1959,1.685
1960,1.682
1961,1.685
1962,1.691
1963,1.697
1964,1.696
1965,1.686
1966,1.669
1967,1.644
1968,1.613
1969,1.577
1970,1.538
1971,1.496
1972,1.442
1973,1.396
1974,1.351
1975,1.311
1976,1.281
1977,1.256
1978,1.239
1979,1.223
1980,1.203
1981,1.196
1982,1.201
1983,1.232
1984,1.253
1985,1.27
1986,1.289
1987,1.361
1988,1.415
1989,1.471
1990,1.516
1991,1.579
1992,1.654
1993,1.717
1994,1.793
1995,1.865
1996,1.946
1997,1.988
1998,2.028
1999,2.061
2000,2.096
2001,2.102
2002,2.082
2003,2.026
2004,1.976
2005,1.927
2006,1.869
2007,1.74
2008,1.641
2009,1.554
2010,1.476
2011,1.409
2012,1.345
2013,1.287
2014,1.224
2015,1.168
2016,1.12
2017,1.103
2018,1.082
2019,1.061
2020,1.041
